"DriverName","Points","Wins","LapsLead"
"Max Verstappen","395.5","10","652"
"Lewis Hamilton","387.5","8","297"
"Valtteri Bottas","226","1","79"
"Sergio Perez","190","1","46"
"Carlos Sainz","164.5","0","12"
"Lando Norris","160","0","31"
"Charles Leclerc","159","0","60"
"Daniel Riccardo","115","1","48"
"Pierre Gasly","110","0","0"
"Fernando Alonso","81","0","2"
"Esteban Ocon","74","1","66"
"Sebastian Vettel","43","0","4"
"Lance Stroll","34","0","0"
"Yuki Tsunoda","32","0","0"
"George Russell","16","0","0"
"Kimi Räikkönen","10","0","0"
"Nicholas Latifi","7","0","0"
"Antonio Geovinazzi","3","0","0"
"Mick Schumacher","0","0","0"
"Robert Kubica","0","0","0"
"Nikita Mazepin","0","0","0"
